model,prompt,accuracy,macro_f1,f1_negative,f1_neutral,f1_positive,unknown_rate,n
majority,-,0.3333333333333333,0.1666666666666666,0.0,0.5,0.0,0.0,498
qwen05,zs_en,0.4076305220883534,0.3489586119526411,0.5170940170940171,0.4068767908309456,0.1229050279329608,0.0,498
qwen05,zs_ur,0.3333333333333333,0.1666666666666666,0.5,0.0,0.0,0.0,498
qwen05,fs_en,0.3514056224899598,0.2071633907862196,0.0236686390532544,0.5069124423963134,0.0909090909090909,0.0,498
qwen05,fs_ur,0.3333333333333333,0.1666666666666666,0.5,0.0,0.0,0.0,498
qwen05,cot_en,0.3875502008032128,0.3636706836706837,0.4848484848484848,0.3127272727272727,0.2934362934362934,0.0943775100401606,498
qwen05,cot_ur,0.3333333333333333,0.2493481981436336,0.4680073126142596,0.2562277580071174,0.0238095238095238,0.2309236947791164,498
qwen15,zs_en,0.3975903614457831,0.2890778838830628,0.5248,0.0355029585798816,0.3069306930693069,0.0,498
qwen15,zs_ur,0.3393574297188755,0.1830085973273526,0.5030487804878049,0.0,0.0459770114942528,0.0,498
qwen15,fs_en,0.5522088353413654,0.5255437162458035,0.5856079404466501,0.3619909502262443,0.6290322580645161,0.0,498
qwen15,fs_ur,0.357429718875502,0.2889823179999372,0.0115606936416184,0.4367816091954023,0.4186046511627907,0.0,498
qwen15,cot_en,0.4257028112449799,0.4269492909255637,0.4497354497354497,0.3592814371257485,0.4718309859154929,0.2228915662650602,498
qwen15,cot_ur,0.3353413654618474,0.172530604616391,0.0114942528735632,0.0,0.5060975609756098,0.0,498
xlm-roberta-base,-,0.39357429718875503,0.3056662153144098,0.22,0.5295109612141653,0.16748768472906403,0.0,498
